pool_size,actual_pool_size,repeat,tasks,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,n
10000,10000,9,87,0.5517241379310345,0.6781609195402298,0.7126436781609196,0.7816091954022989,0.4457033388067871,0.4827859879584018,0.5752326217843459,0.628448275862069,0.519170012419062,87
10000,10000,10,87,0.5632183908045977,0.6551724137931034,0.7011494252873564,0.7931034482758621,0.4200328407224959,0.47090859332238644,0.5815544608648057,0.6227330779054917,0.5198769825054023,87
10000,10000,11,87,0.5172413793103449,0.6781609195402298,0.7126436781609196,0.8160919540229885,0.4201423097974822,0.4875752599890531,0.5997536945812808,0.614541142127349,0.5135462915232365,87
10000,10000,12,87,0.5747126436781609,0.6781609195402298,0.7011494252873564,0.7816091954022989,0.444471811713191,0.4760810071154899,0.5714012041598249,0.6422368180988871,0.5216743261968176,87
10000,10000,13,87,0.5402298850574713,0.6666666666666666,0.7126436781609196,0.7701149425287356,0.42359058565955116,0.47320744389709907,0.5691023535851122,0.6152435686918446,0.5070860229022035,87
10000,10000,14,87,0.5402298850574713,0.6666666666666666,0.7011494252873564,0.8160919540229885,0.42435686918445537,0.4770388615216201,0.5978379857690203,0.6160098522167488,0.5145492726439821,87
10000,10000,15,87,0.5402298850574713,0.6436781609195402,0.7126436781609196,0.7931034482758621,0.4126710454296661,0.4843185550082102,0.5901751505199782,0.616023535851122,0.5102119677505433,87
10000,10000,16,87,0.5517241379310345,0.6551724137931034,0.7011494252873564,0.7586206896551724,0.43067870826491517,0.4787629994526546,0.5525177887246853,0.6200328407224959,0.5070186208131869,87
10000,10000,17,87,0.5862068965517241,0.6551724137931034,0.7241379310344828,0.7816091954022989,0.4115216201423098,0.494280240831965,0.5848111658456486,0.644490056559022,0.5255990332734557,87
10000,10000,18,87,0.5287356321839081,0.6666666666666666,0.7011494252873564,0.8045977011494253,0.41918445539135196,0.4808702791461412,0.5940065681444991,0.6158182813355227,0.5158616234363101,87
10000,10000,19,87,0.5057471264367817,0.7011494252873564,0.7241379310344828,0.7931034482758621,0.45558292282430213,0.48565955117679255,0.5789545703338806,0.6110472541507024,0.5140097976319254,87
full,34396,0,87,0.41379310344827586,0.5862068965517241,0.6436781609195402,0.6666666666666666,0.3594143404488232,0.4009852216748768,0.4492610837438424,0.5074074074074074,0.4058442518172424,87
